pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
EPS/SAA,11,3000,3,68.75,87.5,7,16
EPS/SAA,11,3000,4,75.0,87.5,7,16
EPS/SAA,11,3000,5,62.5,81.25,8,16
EPS/SAA,11,4000,1,62.5,81.25,18,16
EPS/SAA,11,4000,2,68.75,81.25,9,16
EPS/SAA,11,4000,3,62.5,87.5,1,16
EPS/SAA,11,4000,4,62.5,87.5,12,16
EPS/SAA,11,4000,5,62.5,75.0,3,16
EPS/SAA,12,800,1,62.5,75.0,11,16
EPS/SAA,12,800,2,62.5,75.0,12,16
EPS/SAA,12,800,3,56.25,68.75,8,16
EPS/SAA,12,800,4,56.25,68.75,3,16
EPS/SAA,12,800,5,43.75,68.75,2,16
EPS/SAA,12,1500,1,62.5,93.75,13,16
EPS/SAA,12,1500,2,62.5,81.25,14,16
EPS/SAA,12,1500,3,75.0,81.25,6,16
EPS/SAA,12,1500,4,93.75,87.5,15,16
EPS/SAA,12,1500,5,56.25,87.5,19,16
EPS/SAA,12,3000,1,81.25,81.25,5,16
EPS/SAA,12,3000,2,75.0,68.75,5,16
EPS/SAA,12,3000,3,81.25,75.0,9,16
EPS/SAA,12,3000,4,62.5,87.5,9,16
EPS/SAA,12,3000,5,43.75,81.25,2,16
EPS/SAA,12,4000,1,68.75,81.25,6,16
EPS/SAA,12,4000,2,68.75,75.0,2,16
EPS/SAA,12,4000,3,75.0,62.5,9,16
EPS/SAA,12,4000,4,56.25,81.25,15,16
EPS/SAA,12,4000,5,37.5,93.75,25,16
EPS/SAA,13,800,1,75.0,87.5,29,16
EPS/SAA,13,800,2,56.25,68.75,3,16
EPS/SAA,13,800,3,62.5,75.0,7,16
EPS/SAA,13,800,4,62.5,81.25,2,16
EPS/SAA,13,800,5,56.25,68.75,4,16
EPS/SAA,13,1500,1,75.0,81.25,8,16
EPS/SAA,13,1500,2,75.0,87.5,10,16
EPS/SAA,13,1500,3,68.75,87.5,4,16
EPS/SAA,13,1500,4,87.5,100.0,24,16
EPS/SAA,13,1500,5,81.25,87.5,13,16
EPS/SAA,13,3000,1,68.75,75.0,3,16
