pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
EFE/SAA,adjacent,cwt,15,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
EFE/SAA,adjacent,cwt,16,53.75,0.075,53.7428,52.5,55.0,21.0,22.0,18.0,19.0,80.0,53.75
EFE/SAA,adjacent,cwt,17,46.25,-0.075,45.8353,55.0,37.5,22.0,15.0,25.0,18.0,80.0,46.25
EFE/SAA,adjacent,cwt,18,71.25,0.425,71.1373,77.5,65.0,31.0,26.0,14.0,9.0,80.0,71.25
EFE/SFE,adjacent,raw,1,48.8889,-0.0222,48.4818,57.7778,40.0,26.0,18.0,27.0,19.0,90.0,48.8889
EFE/SFE,adjacent,raw,2,51.25,0.025,51.2424,52.5,50.0,21.0,20.0,20.0,19.0,80.0,51.25
EFE/SFE,adjacent,raw,3,80.0,0.6,79.9875,77.5,82.5,31.0,33.0,7.0,9.0,80.0,80.0
EFE/SFE,adjacent,raw,4,51.25,0.025,51.2424,52.5,50.0,21.0,20.0,20.0,19.0,80.0,51.25
EFE/SFE,adjacent,raw,5,50.6173,0.0122,50.6098,51.2195,50.0,21.0,20.0,20.0,20.0,81.0,50.5882
EFE/SFE,adjacent,raw,6,52.5,0.05,52.0202,42.5,62.5,17.0,25.0,15.0,23.0,80.0,52.5
EFE/SFE,adjacent,raw,7,58.75,0.175,58.7436,60.0,57.5,24.0,23.0,17.0,16.0,80.0,58.75
EFE/SFE,adjacent,raw,8,46.25,-0.075,46.2416,47.5,45.0,19.0,18.0,22.0,21.0,80.0,46.25
EFE/SFE,adjacent,raw,9,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
EFE/SFE,adjacent,raw,10,48.75,-0.025,48.3546,40.0,57.5,16.0,23.0,17.0,24.0,80.0,48.75
EFE/SFE,adjacent,raw,11,50.0,0.0,49.9687,52.5,47.5,21.0,19.0,21.0,19.0,80.0,50.0
EFE/SFE,adjacent,raw,12,42.5,-0.15,42.3559,37.5,47.5,15.0,19.0,21.0,25.0,80.0,42.5
EFE/SFE,adjacent,raw,13,61.25,0.225,60.199,77.5,45.0,31.0,18.0,22.0,9.0,80.0,61.25
EFE/SFE,adjacent,raw,14,52.5,0.05,52.4703,50.0,55.0,20.0,22.0,18.0,20.0,80.0,52.5
EFE/SFE,adjacent,raw,15,42.5,-0.15,41.9192,32.5,52.5,13.0,21.0,19.0,27.0,80.0,42.5
EFE/SFE,adjacent,raw,16,56.25,0.125,56.0784,50.0,62.5,20.0,25.0,15.0,20.0,80.0,56.25
EFE/SFE,adjacent,raw,17,41.25,-0.175,41.0196,47.5,35.0,19.0,14.0,26.0,21.0,80.0,41.25
EFE/SFE,adjacent,raw,18,76.25,0.525,76.2166,72.5,80.0,29.0,32.0,8.0,11.0,80.0,76.25
EFE/SFE,adjacent,cwt,1,55.5556,0.1111,55.5336,57.7778,53.3333,26.0,24.0,21.0,19.0,90.0,55.5556
EFE/SFE,adjacent,cwt,2,53.75,0.075,53.6849,50.0,57.5,20.0,23.0,17.0,20.0,80.0,53.75
EFE/SFE,adjacent,cwt,3,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
EFE/SFE,adjacent,cwt,4,50.0,0.0,49.9687,52.5,47.5,21.0,19.0,21.0,19.0,80.0,50.0
EFE/SFE,adjacent,cwt,5,59.2593,0.1873,58.8579,48.7805,70.0,20.0,28.0,12.0,21.0,81.0,59.4853
EFE/SFE,adjacent,cwt,6,60.0,0.2,59.975,62.5,57.5,25.0,23.0,17.0,15.0,80.0,60.0
EFE/SFE,adjacent,cwt,7,51.25,0.025,50.8739,42.5,60.0,17.0,24.0,16.0,23.0,80.0,51.25
EFE/SFE,adjacent,cwt,8,43.75,-0.125,43.6708,47.5,40.0,19.0,16.0,24.0,21.0,80.0,43.75
EFE/SFE,adjacent,cwt,9,57.5,0.15,57.3935,52.5,62.5,21.0,25.0,15.0,19.0,80.0,57.5
EFE/SFE,adjacent,cwt,10,68.75,0.375,68.5089,60.0,77.5,24.0,31.0,9.0,16.0,80.0,68.75
EFE/SFE,adjacent,cwt,11,53.75,0.075,53.3932,45.0,62.5,18.0,25.0,15.0,22.0,80.0,53.75
EFE/SFE,adjacent,cwt,12,46.25,-0.075,46.1743,50.0,42.5,20.0,17.0,23.0,20.0,80.0,46.25
EFE/SFE,adjacent,cwt,13,65.0,0.3,64.9781,62.5,67.5,25.0,27.0,13.0,15.0,80.0,65.0
EFE/SFE,adjacent,cwt,14,56.25,0.125,55.4069,42.5,70.0,17.0,28.0,12.0,23.0,80.0,56.25
EFE/SFE,adjacent,cwt,15,47.5,-0.05,47.3684,52.5,42.5,21.0,17.0,23.0,19.0,80.0,47.5
EFE/SFE,adjacent,cwt,16,63.75,0.275,63.699,67.5,60.0,27.0,24.0,16.0,13.0,80.0,63.75
EFE/SFE,adjacent,cwt,17,50.0,0.0,49.8747,55.0,45.0,22.0,18.0,22.0,18.0,80.0,50.0
EFE/SFE,adjacent,cwt,18,72.5,0.45,72.4828,75.0,70.0,30.0,28.0,12.0,10.0,80.0,72.5
EFE/SPS,adjacent,raw,1,53.3333,0.0667,53.241,57.7778,48.8889,26.0,22.0,23.0,19.0,90.0,53.3333
EFE/SPS,adjacent,raw,2,62.5,0.25,62.406,67.5,57.5,27.0,23.0,17.0,13.0,80.0,62.5
EFE/SPS,adjacent,raw,3,58.75,0.175,58.7436,57.5,60.0,23.0,24.0,16.0,17.0,80.0,58.75
EFE/SPS,adjacent,raw,4,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
EFE/SPS,adjacent,raw,5,47.5,-0.05,47.203,40.0,55.0,16.0,22.0,18.0,24.0,80.0,47.5
EFE/SPS,adjacent,raw,6,48.75,-0.025,48.549,42.5,55.0,17.0,22.0,18.0,23.0,80.0,48.75
EFE/SPS,adjacent,raw,7,66.25,0.325,66.2025,62.5,70.0,25.0,28.0,12.0,15.0,80.0,66.25
EFE/SPS,adjacent,raw,8,62.5,0.25,61.9048,75.0,50.0,30.0,20.0,20.0,10.0,80.0,62.5
EFE/SPS,adjacent,raw,9,68.75,0.375,68.706,65.0,72.5,26.0,29.0,11.0,14.0,80.0,68.75
EFE/SPS,adjacent,raw,10,62.5,0.25,62.4765,60.0,65.0,24.0,26.0,14.0,16.0,80.0,62.5
EFE/SPS,adjacent,raw,11,61.25,0.225,60.951,70.0,52.5,28.0,21.0,19.0,12.0,80.0,61.25
EFE/SPS,adjacent,raw,12,58.75,0.175,58.7436,60.0,57.5,24.0,23.0,17.0,16.0,80.0,58.75
EFE/SPS,adjacent,raw,13,56.25,0.125,55.0634,72.5,40.0,29.0,16.0,24.0,11.0,80.0,56.25
EFE/SPS,adjacent,raw,14,43.75,-0.125,43.7412,45.0,42.5,18.0,17.0,23.0,22.0,80.0,43.75
EFE/SPS,adjacent,raw,15,47.5,-0.05,47.203,40.0,55.0,16.0,22.0,18.0,24.0,80.0,47.5
EFE/SPS,adjacent,raw,16,55.0,0.1,55.0,55.0,55.0,22.0,22.0,18.0,18.0,80.0,55.0
EFE/SPS,adjacent,raw,17,50.0,0.0,49.7172,57.5,42.5,23.0,17.0,23.0,17.0,80.0,50.0
EFE/SPS,adjacent,raw,18,66.25,0.325,66.2025,70.0,62.5,28.0,25.0,15.0,12.0,80.0,66.25
EFE/SPS,adjacent,cwt,1,45.5556,-0.0889,45.0056,55.5556,35.5556,25.0,16.0,29.0,20.0,90.0,45.5556
EFE/SPS,adjacent,cwt,2,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
EFE/SPS,adjacent,cwt,3,67.5,0.35,67.4797,65.0,70.0,26.0,28.0,12.0,14.0,80.0,67.5
EFE/SPS,adjacent,cwt,4,50.0,0.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,80.0,50.0
EFE/SPS,adjacent,cwt,5,52.5,0.05,51.746,40.0,65.0,16.0,26.0,14.0,24.0,80.0,52.5
EFE/SPS,adjacent,cwt,6,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EFE/SPS,adjacent,cwt,7,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
EFE/SPS,adjacent,cwt,8,57.5,0.15,57.2596,65.0,50.0,26.0,20.0,20.0,14.0,80.0,57.5
EFE/SPS,adjacent,cwt,9,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
EFE/SPS,adjacent,cwt,10,68.75,0.375,68.5089,60.0,77.5,24.0,31.0,9.0,16.0,80.0,68.75
EFE/SPS,adjacent,cwt,11,58.75,0.175,58.6919,62.5,55.0,25.0,22.0,18.0,15.0,80.0,58.75
EFE/SPS,adjacent,cwt,12,65.0,0.3,64.9781,62.5,67.5,25.0,27.0,13.0,15.0,80.0,65.0
EFE/SPS,adjacent,cwt,13,58.75,0.175,58.6919,62.5,55.0,25.0,22.0,18.0,15.0,80.0,58.75
EFE/SPS,adjacent,cwt,14,42.5,-0.15,42.1747,35.0,50.0,14.0,20.0,20.0,26.0,80.0,42.5
EFE/SPS,adjacent,cwt,15,55.0,0.1,53.125,75.0,35.0,30.0,14.0,26.0,10.0,80.0,55.0
EFE/SPS,adjacent,cwt,16,60.0,0.2,59.8997,55.0,65.0,22.0,26.0,14.0,18.0,80.0,60.0
EFE/SPS,adjacent,cwt,17,55.0,0.1,54.7454,62.5,47.5,25.0,19.0,21.0,15.0,80.0,55.0
EFE/SPS,adjacent,cwt,18,66.25,0.325,66.2025,62.5,70.0,25.0,28.0,12.0,15.0,80.0,66.25
EPS/EFE,same,raw,1,64.4444,0.2889,64.3741,68.8889,60.0,31.0,27.0,18.0,14.0,90.0,64.4444
EPS/EFE,same,raw,2,42.5,-0.15,42.5,42.5,42.5,17.0,17.0,23.0,23.0,80.0,42.5
EPS/EFE,same,raw,3,48.75,-0.025,48.549,55.0,42.5,22.0,17.0,23.0,18.0,80.0,48.75
EPS/EFE,same,raw,4,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
EPS/EFE,same,raw,5,50.0,0.0,49.7172,42.5,57.5,17.0,23.0,17.0,23.0,80.0,50.0
EPS/EFE,same,raw,6,56.25,0.125,56.1884,52.5,60.0,21.0,24.0,16.0,19.0,80.0,56.25
EPS/EFE,same,raw,7,63.75,0.275,63.6078,57.5,70.0,23.0,28.0,12.0,17.0,80.0,63.75
EPS/EFE,same,raw,8,51.25,0.025,51.1813,55.0,47.5,22.0,19.0,21.0,18.0,80.0,51.25
EPS/EFE,same,raw,9,63.75,0.275,63.4703,55.0,72.5,22.0,29.0,11.0,18.0,80.0,63.75
EPS/EFE,same,raw,10,43.75,-0.125,43.7412,45.0,42.5,18.0,17.0,23.0,22.0,80.0,43.75
EPS/EFE,same,raw,11,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
EPS/EFE,same,raw,12,50.0,0.0,49.8747,55.0,45.0,22.0,18.0,22.0,18.0,80.0,50.0
EPS/EFE,same,raw,13,46.25,-0.075,45.561,35.0,57.5,14.0,23.0,17.0,26.0,80.0,46.25
EPS/EFE,same,raw,14,57.5,0.15,57.2596,65.0,50.0,26.0,20.0,20.0,14.0,80.0,57.5
EPS/EFE,same,raw,15,57.5,0.15,57.4734,60.0,55.0,24.0,22.0,18.0,16.0,80.0,57.5
EPS/EFE,same,raw,16,67.5,0.35,67.4797,65.0,70.0,26.0,28.0,12.0,14.0,80.0,67.5
EPS/EFE,same,raw,17,58.75,0.175,58.7436,57.5,60.0,23.0,24.0,16.0,17.0,80.0,58.75
EPS/EFE,same,raw,18,43.75,-0.125,43.5294,50.0,37.5,20.0,15.0,25.0,20.0,80.0,43.75
EPS/EFE,same,cwt,1,63.3333,0.2667,63.2198,68.8889,57.7778,31.0,26.0,19.0,14.0,90.0,63.3333
EPS/EFE,same,cwt,2,56.25,0.125,56.2432,57.5,55.0,23.0,22.0,18.0,17.0,80.0,56.25
EPS/EFE,same,cwt,3,51.25,0.025,51.2424,52.5,50.0,21.0,20.0,20.0,19.0,80.0,51.25
EPS/EFE,same,cwt,4,71.25,0.425,71.2455,70.0,72.5,28.0,29.0,11.0,12.0,80.0,71.25
EPS/EFE,same,cwt,5,60.0,0.2,60.0,60.0,60.0,24.0,24.0,16.0,16.0,80.0,60.0
EPS/EFE,same,cwt,6,60.0,0.2,59.7737,67.5,52.5,27.0,21.0,19.0,13.0,80.0,60.0
EPS/EFE,same,cwt,7,45.0,-0.1,44.6889,37.5,52.5,15.0,21.0,19.0,25.0,80.0,45.0
EPS/EFE,same,cwt,8,46.25,-0.075,46.1743,50.0,42.5,20.0,17.0,23.0,20.0,80.0,46.25
EPS/EFE,same,cwt,9,53.75,0.075,53.3932,45.0,62.5,18.0,25.0,15.0,22.0,80.0,53.75
EPS/EFE,same,cwt,10,47.5,-0.05,47.5,47.5,47.5,19.0,19.0,21.0,21.0,80.0,47.5
EPS/EFE,same,cwt,11,61.25,0.225,61.1954,65.0,57.5,26.0,23.0,17.0,14.0,80.0,61.25
EPS/EFE,same,cwt,12,45.0,-0.1,44.9656,47.5,42.5,19.0,17.0,23.0,21.0,80.0,45.0
EPS/EFE,same,cwt,13,57.5,0.15,57.4734,60.0,55.0,24.0,22.0,18.0,16.0,80.0,57.5
EPS/EFE,same,cwt,14,50.0,0.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,80.0,50.0
EPS/EFE,same,cwt,15,52.5,0.05,52.2313,60.0,45.0,24.0,18.0,22.0,16.0,80.0,52.5
EPS/EFE,same,cwt,16,62.5,0.25,62.406,57.5,67.5,23.0,27.0,13.0,17.0,80.0,62.5
EPS/EFE,same,cwt,17,56.25,0.125,56.0784,50.0,62.5,20.0,25.0,15.0,20.0,80.0,56.25
EPS/EFE,same,cwt,18,53.75,0.075,53.1571,65.0,42.5,26.0,17.0,23.0,14.0,80.0,53.75
EPS/SAA,adjacent,raw,1,58.8889,0.1778,58.6387,51.1111,66.6667,23.0,30.0,15.0,22.0,90.0,58.8889
EPS/SAA,adjacent,raw,2,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
EPS/SAA,adjacent,raw,3,81.25,0.625,81.2236,85.0,77.5,34.0,31.0,9.0,6.0,80.0,81.25
EPS/SAA,adjacent,raw,4,71.25,0.425,71.2455,70.0,72.5,28.0,29.0,11.0,12.0,80.0,71.25
EPS/SAA,adjacent,raw,5,46.25,-0.075,46.1743,50.0,42.5,20.0,17.0,23.0,20.0,80.0,46.25
EPS/SAA,adjacent,raw,6,66.25,0.325,65.8174,55.0,77.5,22.0,31.0,9.0,18.0,80.0,66.25
EPS/SAA,adjacent,raw,7,78.75,0.575,78.6667,72.5,85.0,29.0,34.0,6.0,11.0,80.0,78.75
EPS/SAA,adjacent,raw,8,40.0,-0.2,39.0476,52.5,27.5,21.0,11.0,29.0,19.0,80.0,40.0
EPS/SAA,adjacent,raw,9,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
EPS/SAA,adjacent,raw,10,45.0,-0.1,44.9656,42.5,47.5,17.0,19.0,21.0,23.0,80.0,45.0
EPS/SAA,adjacent,raw,11,62.5,0.25,62.5,62.5,62.5,25.0,25.0,15.0,15.0,80.0,62.5
EPS/SAA,adjacent,raw,12,58.75,0.175,58.6919,55.0,62.5,22.0,25.0,15.0,18.0,80.0,58.75
EPS/SAA,adjacent,raw,13,55.0,0.1,54.9719,52.5,57.5,21.0,23.0,17.0,19.0,80.0,55.0
EPS/SAA,adjacent,raw,14,50.0,0.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,80.0,50.0
EPS/SAA,adjacent,raw,15,43.75,-0.125,43.5294,37.5,50.0,15.0,20.0,20.0,25.0,80.0,43.75
EPS/SAA,adjacent,raw,16,63.75,0.275,63.6078,70.0,57.5,28.0,23.0,17.0,12.0,80.0,63.75
EPS/SAA,adjacent,raw,17,58.75,0.175,58.5882,65.0,52.5,26.0,21.0,19.0,14.0,80.0,58.75
EPS/SAA,adjacent,raw,18,80.0,0.6,80.0,80.0,80.0,32.0,32.0,8.0,8.0,80.0,80.0
EPS/SAA,adjacent,cwt,1,64.4444,0.2889,64.3741,60.0,68.8889,27.0,31.0,14.0,18.0,90.0,64.4444
EPS/SAA,adjacent,cwt,2,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
EPS/SAA,adjacent,cwt,3,85.0,0.7,84.9906,87.5,82.5,35.0,33.0,7.0,5.0,80.0,85.0
EPS/SAA,adjacent,cwt,4,76.25,0.525,76.1569,70.0,82.5,28.0,33.0,7.0,12.0,80.0,76.25
EPS/SAA,adjacent,cwt,5,48.75,-0.025,48.6778,52.5,45.0,21.0,18.0,22.0,19.0,80.0,48.75
EPS/SAA,adjacent,cwt,6,61.25,0.225,61.1954,65.0,57.5,26.0,23.0,17.0,14.0,80.0,61.25
EPS/SAA,adjacent,cwt,7,65.0,0.3,64.9781,67.5,62.5,27.0,25.0,15.0,13.0,80.0,65.0
EPS/SAA,adjacent,cwt,8,38.75,-0.225,37.5697,52.5,25.0,21.0,10.0,30.0,19.0,80.0,38.75
EPS/SAA,adjacent,cwt,9,62.5,0.25,62.4765,60.0,65.0,24.0,26.0,14.0,16.0,80.0,62.5
EPS/SAA,adjacent,cwt,10,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
EPS/SAA,adjacent,cwt,11,51.25,0.025,51.1813,47.5,55.0,19.0,22.0,18.0,21.0,80.0,51.25
EPS/SAA,adjacent,cwt,12,41.25,-0.175,41.2408,40.0,42.5,16.0,17.0,23.0,24.0,80.0,41.25
EPS/SAA,adjacent,cwt,13,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EPS/SAA,adjacent,cwt,14,56.25,0.125,56.0784,62.5,50.0,25.0,20.0,20.0,15.0,80.0,56.25
EPS/SAA,adjacent,cwt,15,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
EPS/SAA,adjacent,cwt,16,67.5,0.35,67.4185,62.5,72.5,25.0,29.0,11.0,15.0,80.0,67.5
EPS/SAA,adjacent,cwt,17,57.5,0.15,57.4734,60.0,55.0,24.0,22.0,18.0,16.0,80.0,57.5
EPS/SAA,adjacent,cwt,18,81.25,0.625,81.2236,85.0,77.5,34.0,31.0,9.0,6.0,80.0,81.25
EPS/SFE,adjacent,raw,1,48.8889,-0.0222,48.8889,48.8889,48.8889,22.0,22.0,23.0,23.0,90.0,48.8889
EPS/SFE,adjacent,raw,2,61.25,0.225,60.951,70.0,52.5,28.0,21.0,19.0,12.0,80.0,61.25
EPS/SFE,adjacent,raw,3,73.75,0.475,73.7459,72.5,75.0,29.0,30.0,10.0,11.0,80.0,73.75
EPS/SFE,adjacent,raw,4,68.75,0.375,68.7451,70.0,67.5,28.0,27.0,13.0,12.0,80.0,68.75
EPS/SFE,adjacent,raw,5,48.1481,-0.0372,48.1402,48.7805,47.5,20.0,19.0,21.0,21.0,81.0,48.3088
EPS/SFE,adjacent,raw,6,67.5,0.35,67.4797,65.0,70.0,26.0,28.0,12.0,14.0,80.0,67.5
EPS/SFE,adjacent,raw,7,71.25,0.425,71.2455,70.0,72.5,28.0,29.0,11.0,12.0,80.0,71.25
EPS/SFE,adjacent,raw,8,53.75,0.075,53.3932,62.5,45.0,25.0,18.0,22.0,15.0,80.0,53.75
EPS/SFE,adjacent,raw,9,46.25,-0.075,45.8353,37.5,55.0,15.0,22.0,18.0,25.0,80.0,46.25
EPS/SFE,adjacent,raw,10,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
EPS/SFE,adjacent,raw,11,52.5,0.05,52.5,52.5,52.5,21.0,21.0,19.0,19.0,80.0,52.5
EPS/SFE,adjacent,raw,12,47.5,-0.05,47.3684,42.5,52.5,17.0,21.0,19.0,23.0,80.0,47.5
EPS/SFE,adjacent,raw,13,62.5,0.25,61.9048,75.0,50.0,30.0,20.0,20.0,10.0,80.0,62.5
EPS/SFE,adjacent,raw,14,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
EPS/SFE,adjacent,raw,15,45.0,-0.1,44.6889,37.5,52.5,15.0,21.0,19.0,25.0,80.0,45.0
EPS/SFE,adjacent,raw,16,60.0,0.2,59.8997,55.0,65.0,22.0,26.0,14.0,18.0,80.0,60.0
EPS/SFE,adjacent,raw,17,52.5,0.05,52.381,57.5,47.5,23.0,19.0,21.0,17.0,80.0,52.5
EPS/SFE,adjacent,raw,18,72.5,0.45,72.4311,67.5,77.5,27.0,31.0,9.0,13.0,80.0,72.5
EPS/SFE,adjacent,cwt,1,57.7778,0.1556,57.6942,62.2222,53.3333,28.0,24.0,21.0,17.0,90.0,57.7778
EPS/SFE,adjacent,cwt,2,56.25,0.125,56.1884,60.0,52.5,24.0,21.0,19.0,16.0,80.0,56.25
EPS/SFE,adjacent,cwt,3,76.25,0.525,76.2463,77.5,75.0,31.0,30.0,10.0,9.0,80.0,76.25
EPS/SFE,adjacent,cwt,4,72.5,0.45,72.4311,67.5,77.5,27.0,31.0,9.0,13.0,80.0,72.5
EPS/SFE,adjacent,cwt,5,59.2593,0.1848,59.2344,60.9756,57.5,25.0,23.0,17.0,16.0,81.0,59.1176
EPS/SFE,adjacent,cwt,6,60.0,0.2,59.975,57.5,62.5,23.0,25.0,15.0,17.0,80.0,60.0
EPS/SFE,adjacent,cwt,7,61.25,0.225,61.2439,60.0,62.5,24.0,25.0,15.0,16.0,80.0,61.25
EPS/SFE,adjacent,cwt,8,45.0,-0.1,44.4444,55.0,35.0,22.0,14.0,26.0,18.0,80.0,45.0
EPS/SFE,adjacent,cwt,9,58.75,0.175,58.7436,60.0,57.5,24.0,23.0,17.0,16.0,80.0,58.75
EPS/SFE,adjacent,cwt,10,65.0,0.3,64.9781,62.5,67.5,25.0,27.0,13.0,15.0,80.0,65.0
EPS/SFE,adjacent,cwt,11,61.25,0.225,61.098,67.5,55.0,27.0,22.0,18.0,13.0,80.0,61.25
EPS/SFE,adjacent,cwt,12,53.75,0.075,53.7428,55.0,52.5,22.0,21.0,19.0,18.0,80.0,53.75
EPS/SFE,adjacent,cwt,13,68.75,0.375,68.6275,75.0,62.5,30.0,25.0,15.0,10.0,80.0,68.75
EPS/SFE,adjacent,cwt,14,57.5,0.15,57.0707,47.5,67.5,19.0,27.0,13.0,21.0,80.0,57.5
EPS/SFE,adjacent,cwt,15,55.0,0.1,54.9719,57.5,52.5,23.0,21.0,19.0,17.0,80.0,55.0
EPS/SFE,adjacent,cwt,16,58.75,0.175,58.5882,52.5,65.0,21.0,26.0,14.0,19.0,80.0,58.75
EPS/SFE,adjacent,cwt,17,63.75,0.275,63.7443,65.0,62.5,26.0,25.0,15.0,14.0,80.0,63.75
EPS/SFE,adjacent,cwt,18,72.5,0.45,72.5,72.5,72.5,29.0,29.0,11.0,11.0,80.0,72.5
EPS/SPS,adjacent,raw,1,48.8889,-0.0222,48.8636,51.1111,46.6667,23.0,21.0,24.0,22.0,90.0,48.8889
EPS/SPS,adjacent,raw,2,53.75,0.075,53.3932,45.0,62.5,18.0,25.0,15.0,22.0,80.0,53.75
