pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
HOC/SPS,distant,cwt,12,70.0,0.4,69.9812,72.5,67.5,29.0,27.0,13.0,11.0,80.0,70.0
HOC/SPS,distant,cwt,13,63.75,0.275,63.7443,62.5,65.0,25.0,26.0,14.0,15.0,80.0,63.75
HOC/SPS,distant,cwt,14,68.75,0.375,68.3494,57.5,80.0,23.0,32.0,8.0,17.0,80.0,68.75
HOC/SPS,distant,cwt,15,75.0,0.5,75.0,75.0,75.0,30.0,30.0,10.0,10.0,80.0,75.0
HOC/SPS,distant,cwt,16,80.0,0.6,79.9499,75.0,85.0,30.0,34.0,6.0,10.0,80.0,80.0
HOC/SPS,distant,cwt,17,57.5,0.15,57.5,57.5,57.5,23.0,23.0,17.0,17.0,80.0,57.5
HOC/SPS,distant,cwt,18,87.5,0.75,87.4922,85.0,90.0,34.0,36.0,4.0,6.0,80.0,87.5
WAA/SAA,distant,cwt,1,57.7778,0.1556,57.5893,51.1111,64.4444,23.0,29.0,16.0,22.0,90.0,57.7778
WAA/SAA,distant,cwt,2,63.75,0.275,63.6078,70.0,57.5,28.0,23.0,17.0,12.0,80.0,63.75
WAA/SAA,distant,cwt,3,58.75,0.175,58.7436,57.5,60.0,23.0,24.0,16.0,17.0,80.0,58.75
WAA/SAA,distant,cwt,4,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
WAA/SAA,distant,cwt,5,77.5,0.55,77.4859,75.0,80.0,30.0,32.0,8.0,10.0,80.0,77.5
WAA/SAA,distant,cwt,6,68.75,0.375,68.7451,67.5,70.0,27.0,28.0,12.0,13.0,80.0,68.75
WAA/SAA,distant,cwt,7,75.0,0.5,74.9373,80.0,70.0,32.0,28.0,12.0,8.0,80.0,75.0
WAA/SAA,distant,cwt,8,58.75,0.175,58.5882,65.0,52.5,26.0,21.0,19.0,14.0,80.0,58.75
WAA/SAA,distant,cwt,9,42.5,-0.15,42.464,40.0,45.0,16.0,18.0,22.0,24.0,80.0,42.5
WAA/SAA,distant,cwt,10,60.0,0.2,59.8997,65.0,55.0,26.0,22.0,18.0,14.0,80.0,60.0
WAA/SAA,distant,cwt,11,66.25,0.325,66.2025,70.0,62.5,28.0,25.0,15.0,12.0,80.0,66.25
WAA/SAA,distant,cwt,12,63.75,0.275,63.699,60.0,67.5,24.0,27.0,13.0,16.0,80.0,63.75
WAA/SAA,distant,cwt,13,62.5,0.25,62.4765,60.0,65.0,24.0,26.0,14.0,16.0,80.0,62.5
WAA/SAA,distant,cwt,14,56.25,0.125,56.2432,55.0,57.5,22.0,23.0,17.0,18.0,80.0,56.25
WAA/SAA,distant,cwt,15,72.5,0.45,72.4828,75.0,70.0,30.0,28.0,12.0,10.0,80.0,72.5
WAA/SAA,distant,cwt,16,72.5,0.45,72.2222,62.5,82.5,25.0,33.0,7.0,15.0,80.0,72.5
WAA/SAA,distant,cwt,17,62.5,0.25,62.406,67.5,57.5,27.0,23.0,17.0,13.0,80.0,62.5
WAA/SAA,distant,cwt,18,77.5,0.55,77.4436,82.5,72.5,33.0,29.0,11.0,7.0,80.0,77.5
