pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
SAA/SFE,same,cwt,17,46.25,-0.075,46.2416,47.5,45.0,19.0,18.0,22.0,21.0,80.0,46.25
SAA/SFE,same,cwt,18,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
WAA/SAA,distant,raw,1,64.4444,0.2889,64.4444,64.4444,64.4444,29.0,29.0,16.0,16.0,90.0,64.4444
WAA/SAA,distant,raw,2,60.0,0.2,59.8997,55.0,65.0,22.0,26.0,14.0,18.0,80.0,60.0
WAA/SAA,distant,raw,3,82.5,0.65,82.4891,80.0,85.0,32.0,34.0,6.0,8.0,80.0,82.5
WAA/SAA,distant,raw,4,86.25,0.725,86.1961,80.0,92.5,32.0,37.0,3.0,8.0,80.0,86.25
WAA/SAA,distant,raw,5,38.75,-0.225,38.2774,47.5,30.0,19.0,12.0,28.0,21.0,80.0,38.75
WAA/SAA,distant,raw,6,62.5,0.25,62.1212,52.5,72.5,21.0,29.0,11.0,19.0,80.0,62.5
WAA/SAA,distant,raw,7,75.0,0.5,74.8586,67.5,82.5,27.0,33.0,7.0,13.0,80.0,75.0
WAA/SAA,distant,raw,8,47.5,-0.05,47.203,55.0,40.0,22.0,16.0,24.0,18.0,80.0,47.5
WAA/SAA,distant,raw,9,60.0,0.2,59.975,57.5,62.5,23.0,25.0,15.0,17.0,80.0,60.0
WAA/SAA,distant,raw,10,58.75,0.175,58.7436,57.5,60.0,23.0,24.0,16.0,17.0,80.0,58.75
WAA/SAA,distant,raw,11,55.0,0.1,54.9719,57.5,52.5,23.0,21.0,19.0,17.0,80.0,55.0
WAA/SAA,distant,raw,12,47.5,-0.05,47.203,40.0,55.0,16.0,22.0,18.0,24.0,80.0,47.5
WAA/SAA,distant,raw,13,50.0,0.0,49.9687,52.5,47.5,21.0,19.0,21.0,19.0,80.0,50.0
WAA/SAA,distant,raw,14,60.0,0.2,59.8997,65.0,55.0,26.0,22.0,18.0,14.0,80.0,60.0
WAA/SAA,distant,raw,15,37.5,-0.25,37.1464,45.0,30.0,18.0,12.0,28.0,22.0,80.0,37.5
WAA/SAA,distant,raw,16,56.25,0.125,55.9125,65.0,47.5,26.0,19.0,21.0,14.0,80.0,56.25
WAA/SAA,distant,raw,17,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
WAA/SAA,distant,raw,18,77.5,0.55,77.4436,72.5,82.5,29.0,33.0,7.0,11.0,80.0,77.5
