pair,mode,subject,fold,acc,kappa,f1,n
EFE/SFE,raw,1,1,44.44444444444444,-0.11111111111111116,0.4375,18
EFE/SFE,raw,1,2,38.88888888888889,-0.2222222222222222,0.37142857142857144,18
EFE/SFE,raw,1,3,55.55555555555556,0.11111111111111116,0.5,18
EFE/SFE,raw,1,4,66.66666666666666,0.33333333333333326,0.6493506493506493,18
EFE/SFE,raw,1,5,38.88888888888889,-0.2222222222222222,0.37142857142857144,18
EFE/SFE,raw,2,1,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,2,2,37.5,-0.25,0.36507936507936506,16
EFE/SFE,raw,2,3,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,2,4,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,2,5,62.5,0.25,0.625,16
EFE/SFE,raw,3,1,68.75,0.375,0.6862745098039216,16
EFE/SFE,raw,3,2,81.25,0.625,0.8117647058823529,16
EFE/SFE,raw,3,3,75.0,0.5,0.75,16
EFE/SFE,raw,3,4,100.0,1.0,1.0,16
EFE/SFE,raw,3,5,75.0,0.5,0.75,16
EFE/SFE,raw,4,1,43.75,-0.125,0.43529411764705883,16
EFE/SFE,raw,4,2,50.0,0.0,0.4666666666666667,16
EFE/SFE,raw,4,3,37.5,-0.25,0.3333333333333333,16
EFE/SFE,raw,4,4,62.5,0.25,0.6,16
EFE/SFE,raw,4,5,62.5,0.25,0.6190476190476191,16
EFE/SFE,raw,5,1,52.94117647058824,0.06849315068493157,0.5277777777777778,17
EFE/SFE,raw,5,2,37.5,-0.25,0.36507936507936506,16
EFE/SFE,raw,5,3,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,5,4,56.25,0.125,0.5607843137254902,16
EFE/SFE,raw,5,5,50.0,0.0,0.4666666666666667,16
EFE/SFE,raw,6,1,68.75,0.375,0.6536796536796536,16
EFE/SFE,raw,6,2,56.25,0.125,0.5465587044534412,16
EFE/SFE,raw,6,3,43.75,-0.125,0.43529411764705883,16
