pair,mode,subject,fold,acc,kappa,f1,n
EPS/SFE,raw,2,1,81.25,0.625,0.8117647058823529,16
EPS/SFE,raw,2,2,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,2,3,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,2,4,62.5,0.25,0.6,16
EPS/SFE,raw,2,5,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,3,1,68.75,0.375,0.6761133603238867,16
EPS/SFE,raw,3,2,62.5,0.25,0.625,16
EPS/SFE,raw,3,3,81.25,0.625,0.8117647058823529,16
EPS/SFE,raw,3,4,81.25,0.625,0.8117647058823529,16
EPS/SFE,raw,3,5,75.0,0.5,0.75,16
EPS/SFE,raw,4,1,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,4,2,68.75,0.375,0.6536796536796536,16
EPS/SFE,raw,4,3,75.0,0.5,0.75,16
EPS/SFE,raw,4,4,68.75,0.375,0.6862745098039216,16
EPS/SFE,raw,4,5,68.75,0.375,0.6862745098039216,16
EPS/SFE,raw,5,1,35.294117647058826,-0.3262411347517729,0.315018315018315,17
EPS/SFE,raw,5,2,68.75,0.375,0.6761133603238867,16
EPS/SFE,raw,5,3,50.0,0.0,0.4181818181818182,16
EPS/SFE,raw,5,4,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,5,5,37.5,-0.25,0.36507936507936506,16
EPS/SFE,raw,6,1,68.75,0.375,0.6862745098039216,16
EPS/SFE,raw,6,2,75.0,0.5,0.746031746031746,16
EPS/SFE,raw,6,3,81.25,0.625,0.8117647058823529,16
EPS/SFE,raw,6,4,50.0,0.0,0.5,16
EPS/SFE,raw,6,5,62.5,0.25,0.625,16
EPS/SFE,raw,7,1,75.0,0.5,0.75,16
EPS/SFE,raw,7,2,68.75,0.375,0.6761133603238867,16
EPS/SFE,raw,7,3,87.5,0.75,0.875,16
EPS/SFE,raw,7,4,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,7,5,62.5,0.25,0.625,16
EPS/SFE,raw,8,1,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,8,2,50.0,0.0,0.5,16
EPS/SFE,raw,8,3,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,8,4,68.75,0.375,0.6536796536796536,16
EPS/SFE,raw,8,5,50.0,0.0,0.4920634920634921,16
EPS/SFE,raw,9,1,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,9,2,37.5,-0.25,0.36507936507936506,16
EPS/SFE,raw,9,3,50.0,0.0,0.5,16
EPS/SFE,raw,9,4,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,9,5,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,10,1,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,10,2,56.25,0.125,0.5465587044534412,16
EPS/SFE,raw,10,3,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,10,4,50.0,0.0,0.4920634920634921,16
EPS/SFE,raw,10,5,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,11,1,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,11,2,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,11,3,56.25,0.125,0.5151515151515151,16
EPS/SFE,raw,11,4,43.75,-0.125,0.41700404858299595,16
EPS/SFE,raw,11,5,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,12,1,56.25,0.125,0.5465587044534412,16
EPS/SFE,raw,12,2,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,12,3,43.75,-0.125,0.41700404858299595,16
EPS/SFE,raw,12,4,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,12,5,31.25,-0.375,0.30980392156862746,16
EPS/SFE,raw,13,1,68.75,0.375,0.6536796536796536,16
EPS/SFE,raw,13,2,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,13,3,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,13,4,50.0,0.0,0.4920634920634921,16
EPS/SFE,raw,13,5,75.0,0.5,0.746031746031746,16
EPS/SFE,raw,14,1,68.75,0.375,0.6862745098039216,16
EPS/SFE,raw,14,2,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,14,3,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,14,4,56.25,0.125,0.5607843137254902,16
EPS/SFE,raw,14,5,68.75,0.375,0.6761133603238867,16
EPS/SFE,raw,15,1,56.25,0.125,0.5151515151515151,16
EPS/SFE,raw,15,2,31.25,-0.375,0.30980392156862746,16
EPS/SFE,raw,15,3,37.5,-0.25,0.36507936507936506,16
EPS/SFE,raw,15,4,50.0,0.0,0.4920634920634921,16
EPS/SFE,raw,15,5,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,16,1,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,16,2,81.25,0.625,0.8056680161943319,16
EPS/SFE,raw,16,3,68.75,0.375,0.6536796536796536,16
EPS/SFE,raw,16,4,50.0,0.0,0.4666666666666667,16
EPS/SFE,raw,16,5,37.5,-0.25,0.3333333333333333,16
EPS/SFE,raw,17,1,43.75,-0.125,0.41700404858299595,16
EPS/SFE,raw,17,2,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,17,3,43.75,-0.125,0.43529411764705883,16
EPS/SFE,raw,17,4,62.5,0.25,0.625,16
EPS/SFE,raw,17,5,50.0,0.0,0.4920634920634921,16
EPS/SFE,raw,18,1,81.25,0.625,0.8117647058823529,16
EPS/SFE,raw,18,2,62.5,0.25,0.6,16
EPS/SFE,raw,18,3,81.25,0.625,0.8056680161943319,16
EPS/SFE,raw,18,4,62.5,0.25,0.6190476190476191,16
EPS/SFE,raw,18,5,75.0,0.5,0.746031746031746,16
EPS/SPS,fbc,1,1,61.111111111111114,0.22222222222222232,0.609907120743034,18
EPS/SPS,fbc,1,2,66.66666666666666,0.33333333333333326,0.6625,18
EPS/SPS,fbc,1,3,50.0,0.0,0.4581939799331104,18
EPS/SPS,fbc,1,4,55.55555555555556,0.11111111111111116,0.55,18
EPS/SPS,fbc,1,5,55.55555555555556,0.11111111111111116,0.55,18
EPS/SPS,fbc,2,1,31.25,-0.375,0.2874493927125506,16
EPS/SPS,fbc,2,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,2,3,37.5,-0.25,0.36507936507936506,16
EPS/SPS,fbc,2,4,43.75,-0.125,0.43529411764705883,16
EPS/SPS,fbc,2,5,62.5,0.25,0.6,16
EPS/SPS,fbc,3,1,68.75,0.375,0.6536796536796536,16
EPS/SPS,fbc,3,2,81.25,0.625,0.8056680161943319,16
EPS/SPS,fbc,3,3,81.25,0.625,0.8056680161943319,16
EPS/SPS,fbc,3,4,75.0,0.5,0.746031746031746,16
EPS/SPS,fbc,3,5,62.5,0.25,0.6,16
EPS/SPS,fbc,4,1,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,4,2,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,4,3,62.5,0.25,0.625,16
EPS/SPS,fbc,4,4,43.75,-0.125,0.43529411764705883,16
EPS/SPS,fbc,4,5,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,5,1,62.5,0.25,0.625,16
EPS/SPS,fbc,5,2,68.75,0.375,0.6761133603238867,16
EPS/SPS,fbc,5,3,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,5,4,62.5,0.25,0.6190476190476191,16
EPS/SPS,fbc,5,5,31.25,-0.375,0.30980392156862746,16
EPS/SPS,fbc,6,1,87.5,0.75,0.875,16
EPS/SPS,fbc,6,2,43.75,-0.125,0.43529411764705883,16
EPS/SPS,fbc,6,3,37.5,-0.25,0.36507936507936506,16
EPS/SPS,fbc,6,4,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,6,5,50.0,0.0,0.5,16
EPS/SPS,fbc,7,1,87.5,0.75,0.875,16
EPS/SPS,fbc,7,2,87.5,0.75,0.873015873015873,16
EPS/SPS,fbc,7,3,62.5,0.25,0.6,16
EPS/SPS,fbc,7,4,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,7,5,75.0,0.5,0.746031746031746,16
EPS/SPS,fbc,8,1,75.0,0.5,0.75,16
EPS/SPS,fbc,8,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,8,3,43.75,-0.125,0.43529411764705883,16
EPS/SPS,fbc,8,4,50.0,0.0,0.5,16
EPS/SPS,fbc,8,5,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,9,1,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,9,2,62.5,0.25,0.6190476190476191,16
EPS/SPS,fbc,9,3,62.5,0.25,0.625,16
EPS/SPS,fbc,9,4,75.0,0.5,0.75,16
EPS/SPS,fbc,9,5,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,10,1,75.0,0.5,0.746031746031746,16
EPS/SPS,fbc,10,2,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,10,3,75.0,0.5,0.746031746031746,16
EPS/SPS,fbc,10,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,10,5,62.5,0.25,0.6190476190476191,16
EPS/SPS,fbc,11,1,62.5,0.25,0.6190476190476191,16
EPS/SPS,fbc,11,2,50.0,0.0,0.5,16
EPS/SPS,fbc,11,3,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,11,4,68.75,0.375,0.6761133603238867,16
EPS/SPS,fbc,11,5,56.25,0.125,0.5151515151515151,16
EPS/SPS,fbc,12,1,68.75,0.375,0.6862745098039216,16
EPS/SPS,fbc,12,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,12,3,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,12,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,12,5,43.75,-0.125,0.37662337662337664,16
EPS/SPS,fbc,13,1,87.5,0.75,0.873015873015873,16
EPS/SPS,fbc,13,2,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,13,3,68.75,0.375,0.6761133603238867,16
EPS/SPS,fbc,13,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,13,5,62.5,0.25,0.625,16
EPS/SPS,fbc,14,1,25.0,-0.5,0.23809523809523808,16
EPS/SPS,fbc,14,2,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,14,3,37.5,-0.25,0.3333333333333333,16
EPS/SPS,fbc,14,4,37.5,-0.25,0.36507936507936506,16
EPS/SPS,fbc,14,5,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,15,1,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,15,2,43.75,-0.125,0.43529411764705883,16
EPS/SPS,fbc,15,3,50.0,0.0,0.4666666666666667,16
EPS/SPS,fbc,15,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,15,5,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,16,1,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,16,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,16,3,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,16,4,62.5,0.25,0.5636363636363637,16
EPS/SPS,fbc,16,5,50.0,0.0,0.5,16
EPS/SPS,fbc,17,1,81.25,0.625,0.8117647058823529,16
EPS/SPS,fbc,17,2,56.25,0.125,0.5465587044534412,16
EPS/SPS,fbc,17,3,50.0,0.0,0.4920634920634921,16
EPS/SPS,fbc,17,4,50.0,0.0,0.5,16
EPS/SPS,fbc,17,5,50.0,0.0,0.5,16
EPS/SPS,fbc,18,1,68.75,0.375,0.6761133603238867,16
EPS/SPS,fbc,18,2,62.5,0.25,0.6,16
EPS/SPS,fbc,18,3,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,18,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,fbc,18,5,75.0,0.5,0.746031746031746,16
EPS/SPS,raw,1,1,38.88888888888889,-0.2222222222222222,0.38699690402476783,18
EPS/SPS,raw,1,2,61.111111111111114,0.22222222222222232,0.609907120743034,18
EPS/SPS,raw,1,3,44.44444444444444,-0.11111111111111116,0.4375,18
EPS/SPS,raw,1,4,44.44444444444444,-0.11111111111111116,0.4375,18
EPS/SPS,raw,1,5,55.55555555555556,0.11111111111111116,0.55,18
EPS/SPS,raw,2,1,50.0,0.0,0.4181818181818182,16
EPS/SPS,raw,2,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,2,3,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,2,4,56.25,0.125,0.5465587044534412,16
EPS/SPS,raw,2,5,50.0,0.0,0.4666666666666667,16
EPS/SPS,raw,3,1,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,3,2,68.75,0.375,0.6862745098039216,16
EPS/SPS,raw,3,3,56.25,0.125,0.5151515151515151,16
EPS/SPS,raw,3,4,75.0,0.5,0.75,16
EPS/SPS,raw,3,5,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,4,1,68.75,0.375,0.6862745098039216,16
EPS/SPS,raw,4,2,68.75,0.375,0.6761133603238867,16
EPS/SPS,raw,4,3,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,4,4,75.0,0.5,0.746031746031746,16
EPS/SPS,raw,4,5,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,5,1,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,5,2,81.25,0.625,0.8117647058823529,16
EPS/SPS,raw,5,3,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,5,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,5,5,25.0,-0.5,0.23809523809523808,16
EPS/SPS,raw,6,1,62.5,0.25,0.6,16
EPS/SPS,raw,6,2,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,6,3,43.75,-0.125,0.43529411764705883,16
EPS/SPS,raw,6,4,50.0,0.0,0.5,16
EPS/SPS,raw,6,5,43.75,-0.125,0.43529411764705883,16
EPS/SPS,raw,7,1,81.25,0.625,0.8117647058823529,16
EPS/SPS,raw,7,2,75.0,0.5,0.746031746031746,16
EPS/SPS,raw,7,3,87.5,0.75,0.873015873015873,16
EPS/SPS,raw,7,4,62.5,0.25,0.625,16
EPS/SPS,raw,7,5,56.25,0.125,0.5465587044534412,16
EPS/SPS,raw,8,1,75.0,0.5,0.75,16
EPS/SPS,raw,8,2,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,8,3,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,8,4,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,8,5,75.0,0.5,0.746031746031746,16
EPS/SPS,raw,9,1,62.5,0.25,0.6,16
EPS/SPS,raw,9,2,68.75,0.375,0.6761133603238867,16
EPS/SPS,raw,9,3,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,9,4,68.75,0.375,0.6536796536796536,16
EPS/SPS,raw,9,5,62.5,0.25,0.625,16
EPS/SPS,raw,10,1,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,10,2,56.25,0.125,0.5465587044534412,16
EPS/SPS,raw,10,3,75.0,0.5,0.7333333333333334,16
EPS/SPS,raw,10,4,81.25,0.625,0.8117647058823529,16
EPS/SPS,raw,10,5,56.25,0.125,0.5465587044534412,16
EPS/SPS,raw,11,1,43.75,-0.125,0.43529411764705883,16
EPS/SPS,raw,11,2,62.5,0.25,0.625,16
EPS/SPS,raw,11,3,43.75,-0.125,0.43529411764705883,16
EPS/SPS,raw,11,4,37.5,-0.25,0.36507936507936506,16
EPS/SPS,raw,11,5,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,12,1,50.0,0.0,0.5,16
EPS/SPS,raw,12,2,50.0,0.0,0.5,16
EPS/SPS,raw,12,3,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,12,4,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,12,5,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,13,1,75.0,0.5,0.746031746031746,16
EPS/SPS,raw,13,2,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,13,3,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,13,4,68.75,0.375,0.6862745098039216,16
EPS/SPS,raw,13,5,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,14,1,62.5,0.25,0.5636363636363637,16
EPS/SPS,raw,14,2,62.5,0.25,0.6,16
EPS/SPS,raw,14,3,62.5,0.25,0.6,16
EPS/SPS,raw,14,4,56.25,0.125,0.5151515151515151,16
EPS/SPS,raw,14,5,37.5,-0.25,0.375,16
EPS/SPS,raw,15,1,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,15,2,62.5,0.25,0.6190476190476191,16
EPS/SPS,raw,15,3,50.0,0.0,0.4181818181818182,16
EPS/SPS,raw,15,4,50.0,0.0,0.5,16
EPS/SPS,raw,15,5,50.0,0.0,0.5,16
EPS/SPS,raw,16,1,68.75,0.375,0.6862745098039216,16
EPS/SPS,raw,16,2,56.25,0.125,0.45893719806763283,16
EPS/SPS,raw,16,3,43.75,-0.125,0.41700404858299595,16
EPS/SPS,raw,16,4,56.25,0.125,0.5151515151515151,16
EPS/SPS,raw,16,5,43.75,-0.125,0.41700404858299595,16
EPS/SPS,raw,17,1,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,17,2,37.5,-0.25,0.2727272727272727,16
EPS/SPS,raw,17,3,43.75,-0.125,0.43529411764705883,16
EPS/SPS,raw,17,4,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,17,5,37.5,-0.25,0.3333333333333333,16
EPS/SPS,raw,18,1,62.5,0.25,0.6,16
EPS/SPS,raw,18,2,50.0,0.0,0.4920634920634921,16
EPS/SPS,raw,18,3,68.75,0.375,0.6761133603238867,16
EPS/SPS,raw,18,4,56.25,0.125,0.5607843137254902,16
EPS/SPS,raw,18,5,81.25,0.625,0.8056680161943319,16
HOC/EFE,fbc,1,1,83.33333333333334,0.6666666666666667,0.8328173374613003,18
HOC/EFE,fbc,1,2,72.22222222222221,0.4444444444444444,0.7213622291021672,18
HOC/EFE,fbc,1,3,66.66666666666666,0.33333333333333326,0.6666666666666666,18
HOC/EFE,fbc,1,4,66.66666666666666,0.33333333333333326,0.6493506493506493,18
HOC/EFE,fbc,1,5,66.66666666666666,0.33333333333333326,0.6666666666666666,18
HOC/EFE,fbc,2,1,37.5,-0.25,0.36507936507936506,16
HOC/EFE,fbc,2,2,62.5,0.25,0.625,16
HOC/EFE,fbc,2,3,56.25,0.125,0.5151515151515151,16
HOC/EFE,fbc,2,4,50.0,0.0,0.4920634920634921,16
HOC/EFE,fbc,2,5,43.75,-0.125,0.41700404858299595,16
HOC/EFE,fbc,3,1,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,3,2,81.25,0.625,0.8056680161943319,16
HOC/EFE,fbc,3,3,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,3,4,50.0,0.0,0.4666666666666667,16
HOC/EFE,fbc,3,5,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,4,1,87.5,0.75,0.873015873015873,16
HOC/EFE,fbc,4,2,50.0,0.0,0.5,16
HOC/EFE,fbc,4,3,68.75,0.375,0.6536796536796536,16
HOC/EFE,fbc,4,4,81.25,0.625,0.8117647058823529,16
HOC/EFE,fbc,4,5,68.75,0.375,0.6761133603238867,16
HOC/EFE,fbc,5,1,62.5,0.25,0.5636363636363637,16
HOC/EFE,fbc,5,2,37.5,-0.25,0.3333333333333333,16
HOC/EFE,fbc,5,3,37.5,-0.25,0.375,16
HOC/EFE,fbc,5,4,50.0,0.0,0.4920634920634921,16
HOC/EFE,fbc,5,5,50.0,0.0,0.4920634920634921,16
HOC/EFE,fbc,6,1,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,6,2,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,6,3,50.0,0.0,0.4181818181818182,16
HOC/EFE,fbc,6,4,62.5,0.25,0.6,16
HOC/EFE,fbc,6,5,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,7,1,75.0,0.5,0.75,16
HOC/EFE,fbc,7,2,62.5,0.25,0.6190476190476191,16
HOC/EFE,fbc,7,3,68.75,0.375,0.6862745098039216,16
HOC/EFE,fbc,7,4,50.0,0.0,0.3333333333333333,16
HOC/EFE,fbc,7,5,81.25,0.625,0.8117647058823529,16
HOC/EFE,fbc,8,1,43.75,-0.125,0.37662337662337664,16
HOC/EFE,fbc,8,2,43.75,-0.125,0.37662337662337664,16
HOC/EFE,fbc,8,3,18.75,-0.625,0.1843137254901961,16
HOC/EFE,fbc,8,4,50.0,0.0,0.4181818181818182,16
HOC/EFE,fbc,8,5,50.0,0.0,0.4666666666666667,16
HOC/EFE,fbc,9,1,68.75,0.375,0.6862745098039216,16
HOC/EFE,fbc,9,2,56.25,0.125,0.5465587044534412,16
HOC/EFE,fbc,9,3,75.0,0.5,0.746031746031746,16
HOC/EFE,fbc,9,4,62.5,0.25,0.6,16
HOC/EFE,fbc,9,5,62.5,0.25,0.5636363636363637,16
HOC/EFE,fbc,10,1,68.75,0.375,0.6761133603238867,16
HOC/EFE,fbc,10,2,56.25,0.125,0.5465587044534412,16
HOC/EFE,fbc,10,3,75.0,0.5,0.746031746031746,16
HOC/EFE,fbc,10,4,68.75,0.375,0.6761133603238867,16
HOC/EFE,fbc,10,5,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,11,1,50.0,0.0,0.4666666666666667,16
HOC/EFE,fbc,11,2,75.0,0.5,0.746031746031746,16
HOC/EFE,fbc,11,3,37.5,-0.25,0.36507936507936506,16
HOC/EFE,fbc,11,4,50.0,0.0,0.5,16
HOC/EFE,fbc,11,5,25.0,-0.5,0.23809523809523808,16
HOC/EFE,fbc,12,1,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,12,2,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,12,3,50.0,0.0,0.5,16
HOC/EFE,fbc,12,4,62.5,0.25,0.6,16
HOC/EFE,fbc,12,5,37.5,-0.25,0.375,16
HOC/EFE,fbc,13,1,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,13,2,62.5,0.25,0.6,16
HOC/EFE,fbc,13,3,68.75,0.375,0.6761133603238867,16
HOC/EFE,fbc,13,4,81.25,0.625,0.8117647058823529,16
HOC/EFE,fbc,13,5,50.0,0.0,0.4920634920634921,16
HOC/EFE,fbc,14,1,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,14,2,56.25,0.125,0.5465587044534412,16
HOC/EFE,fbc,14,3,37.5,-0.25,0.375,16
HOC/EFE,fbc,14,4,68.75,0.375,0.6862745098039216,16
HOC/EFE,fbc,14,5,62.5,0.25,0.6,16
HOC/EFE,fbc,15,1,37.5,-0.25,0.3333333333333333,16
HOC/EFE,fbc,15,2,62.5,0.25,0.6190476190476191,16
HOC/EFE,fbc,15,3,50.0,0.0,0.4920634920634921,16
HOC/EFE,fbc,15,4,68.75,0.375,0.6862745098039216,16
HOC/EFE,fbc,15,5,62.5,0.25,0.625,16
HOC/EFE,fbc,16,1,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,16,2,37.5,-0.25,0.2727272727272727,16
HOC/EFE,fbc,16,3,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,16,4,56.25,0.125,0.45893719806763283,16
HOC/EFE,fbc,16,5,43.75,-0.125,0.43529411764705883,16
HOC/EFE,fbc,17,1,62.5,0.25,0.6,16
HOC/EFE,fbc,17,2,68.75,0.375,0.6536796536796536,16
HOC/EFE,fbc,17,3,75.0,0.5,0.746031746031746,16
HOC/EFE,fbc,17,4,37.5,-0.25,0.36507936507936506,16
HOC/EFE,fbc,17,5,62.5,0.25,0.6190476190476191,16
HOC/EFE,fbc,18,1,62.5,0.25,0.6,16
HOC/EFE,fbc,18,2,87.5,0.75,0.873015873015873,16
HOC/EFE,fbc,18,3,56.25,0.125,0.5607843137254902,16
HOC/EFE,fbc,18,4,62.5,0.25,0.6190476190476191,16
HOC/EFE,fbc,18,5,75.0,0.5,0.75,16
HOC/EFE,raw,1,1,77.77777777777779,0.5555555555555556,0.7777777777777778,18
HOC/EFE,raw,1,2,72.22222222222221,0.4444444444444444,0.7142857142857142,18
HOC/EFE,raw,1,3,72.22222222222221,0.4444444444444444,0.7213622291021672,18
HOC/EFE,raw,1,4,61.111111111111114,0.22222222222222232,0.609907120743034,18
HOC/EFE,raw,1,5,72.22222222222221,0.4444444444444444,0.7213622291021672,18
HOC/EFE,raw,2,1,50.0,0.0,0.4920634920634921,16
HOC/EFE,raw,2,2,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,2,3,50.0,0.0,0.4920634920634921,16
HOC/EFE,raw,2,4,56.25,0.125,0.5607843137254902,16
HOC/EFE,raw,2,5,62.5,0.25,0.6,16
HOC/EFE,raw,3,1,56.25,0.125,0.5465587044534412,16
HOC/EFE,raw,3,2,75.0,0.5,0.7333333333333334,16
HOC/EFE,raw,3,3,43.75,-0.125,0.41700404858299595,16
HOC/EFE,raw,3,4,31.25,-0.375,0.30980392156862746,16
HOC/EFE,raw,3,5,56.25,0.125,0.5465587044534412,16
HOC/EFE,raw,4,1,93.75,0.875,0.9372549019607843,16
HOC/EFE,raw,4,2,68.75,0.375,0.6862745098039216,16
HOC/EFE,raw,4,3,68.75,0.375,0.6862745098039216,16
HOC/EFE,raw,4,4,87.5,0.75,0.875,16
HOC/EFE,raw,4,5,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,5,1,37.5,-0.25,0.3333333333333333,16
HOC/EFE,raw,5,2,56.25,0.125,0.5607843137254902,16
HOC/EFE,raw,5,3,50.0,0.0,0.5,16
HOC/EFE,raw,5,4,50.0,0.0,0.4666666666666667,16
HOC/EFE,raw,5,5,68.75,0.375,0.6862745098039216,16
HOC/EFE,raw,6,1,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,6,2,43.75,-0.125,0.41700404858299595,16
HOC/EFE,raw,6,3,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,6,4,62.5,0.25,0.625,16
HOC/EFE,raw,6,5,50.0,0.0,0.4920634920634921,16
HOC/EFE,raw,7,1,75.0,0.5,0.75,16
HOC/EFE,raw,7,2,75.0,0.5,0.746031746031746,16
HOC/EFE,raw,7,3,81.25,0.625,0.8117647058823529,16
HOC/EFE,raw,7,4,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,7,5,87.5,0.75,0.875,16
HOC/EFE,raw,8,1,37.5,-0.25,0.375,16
HOC/EFE,raw,8,2,62.5,0.25,0.625,16
HOC/EFE,raw,8,3,50.0,0.0,0.4920634920634921,16
HOC/EFE,raw,8,4,56.25,0.125,0.5607843137254902,16
HOC/EFE,raw,8,5,75.0,0.5,0.746031746031746,16
HOC/EFE,raw,9,1,68.75,0.375,0.6862745098039216,16
HOC/EFE,raw,9,2,87.5,0.75,0.873015873015873,16
HOC/EFE,raw,9,3,37.5,-0.25,0.375,16
HOC/EFE,raw,9,4,43.75,-0.125,0.41700404858299595,16
HOC/EFE,raw,9,5,56.25,0.125,0.5465587044534412,16
HOC/EFE,raw,10,1,68.75,0.375,0.6761133603238867,16
HOC/EFE,raw,10,2,62.5,0.25,0.6,16
HOC/EFE,raw,10,3,68.75,0.375,0.6862745098039216,16
HOC/EFE,raw,10,4,87.5,0.75,0.875,16
HOC/EFE,raw,10,5,56.25,0.125,0.5607843137254902,16
HOC/EFE,raw,11,1,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,11,2,75.0,0.5,0.746031746031746,16
HOC/EFE,raw,11,3,50.0,0.0,0.5,16
HOC/EFE,raw,11,4,62.5,0.25,0.6190476190476191,16
HOC/EFE,raw,11,5,37.5,-0.25,0.3333333333333333,16
HOC/EFE,raw,12,1,43.75,-0.125,0.41700404858299595,16
