pair,model,800,1500,3000,4000,avg
WFE_SAA,conformer_a,64.7145,72.0293,70.787,69.5216,69.2631
WFE_SAA,conformer_b,64.4599,68.4491,68.0787,69.0201,67.5019
WFE_SAA,conformer_b_cwt,58.7809,62.2762,62.5386,64.0741,61.9174
WFE_SFE,conformer_a,61.6898,64.7582,67.9921,66.9102,65.3376
WFE_SFE,conformer_b,61.4249,65.6233,65.0789,64.9254,64.2631
WFE_SFE,conformer_b_cwt,53.5614,54.9014,57.7066,57.2677,55.8593
WAA_EPS,conformer_a,60.2623,63.4722,61.4198,61.0185,61.5432
WAA_EPS,conformer_b,58.4028,59.9846,61.466,61.6435,60.3742
WAA_EPS,conformer_b_cwt,55.8796,57.8395,53.8812,56.5278,56.032
WAA_EFE,conformer_a,60.9877,62.6389,65.6404,65.3395,63.6516
WAA_EFE,conformer_b,60.4398,63.1173,64.9614,64.591,63.2774
WAA_EFE,conformer_b_cwt,57.5772,57.8164,57.7083,60.841,58.4857
WAA_SPS,conformer_a,63.4491,66.7284,68.7731,70.108,67.2647
WAA_SPS,conformer_b,64.0664,68.6034,67.3225,68.8966,67.2222
WAA_SPS,conformer_b_cwt,60.0309,62.8086,57.608,59.1975,59.9113
WAA_SAA,conformer_a,64.1898,71.9367,72.7006,72.9475,70.4437
WAA_SAA,conformer_b,67.5772,71.6127,69.9769,70.3395,69.8765
WAA_SAA,conformer_b_cwt,60.3318,60.9491,60.7639,58.3256,60.0926
WAA_SFE,conformer_a,63.6583,69.8971,69.5345,70.5153,68.4013
WAA_SFE,conformer_b,66.142,68.1499,69.1264,67.1605,67.6447
WAA_SFE,conformer_b_cwt,58.9266,59.9237,59.8302,59.4942,59.5437
EPS_EFE,conformer_a,53.3333,58.2176,61.2114,60.2546,58.2542
EPS_EFE,conformer_b,56.4506,60.9799,61.4738,60.5015,59.8515
EPS_EFE,conformer_b_cwt,55.7176,56.1343,54.2978,54.7994,55.2373
EPS_SPS,conformer_a,64.1127,70.1852,72.3148,69.9923,69.1512
EPS_SPS,conformer_b,66.088,69.3056,68.341,67.7932,67.8819
EPS_SPS,conformer_b_cwt,60.5864,65.0,58.3488,58.8349,60.6925
EPS_SAA,conformer_a,62.7083,69.6219,70.0617,69.3287,67.9302
EPS_SAA,conformer_b,64.3287,69.7222,67.0216,65.625,66.6744
EPS_SAA,conformer_b_cwt,58.5957,63.1944,59.1975,59.9383,60.2315
EPS_SFE,conformer_a,64.1958,69.862,70.6876,71.2311,68.9941
EPS_SFE,conformer_b,65.1843,69.3647,66.2483,66.2723,66.7674
EPS_SFE,conformer_b_cwt,59.5859,62.7229,58.9583,58.4311,59.9246
EFE_SPS,conformer_a,64.0664,68.8735,71.2423,71.6667,68.9622
EFE_SPS,conformer_b,65.3472,69.0046,69.8843,67.9552,68.0478
EFE_SPS,conformer_b_cwt,60.2238,63.8735,60.7948,58.9969,60.9722
EFE_SAA,conformer_a,65.6404,69.3596,69.4522,69.6836,68.534
EFE_SAA,conformer_b,65.2469,69.0123,69.7068,69.2207,68.2967
EFE_SAA,conformer_b_cwt,59.0201,58.804,60.3318,60.8796,59.7589
EFE_SFE,conformer_a,65.3858,69.2978,70.3001,71.0099,68.9984
EFE_SFE,conformer_b,63.9858,66.0091,68.7088,68.2013,66.7263
EFE_SFE,conformer_b_cwt,58.3565,59.4925,57.4254,57.1699,58.1111
SPS_SAA,conformer_a,62.2685,68.1327,71.5432,71.4043,68.3372
SPS_SAA,conformer_b,63.534,68.7423,68.9738,67.1142,67.091
SPS_SAA,conformer_b_cwt,56.0957,58.8272,57.9012,57.0293,57.4633
SPS_SFE,conformer_a,64.9983,67.4648,71.6992,69.0604,68.3057
SPS_SFE,conformer_b,66.7884,65.9508,66.6795,66.9333,66.588
SPS_SFE,conformer_b_cwt,56.6701,61.1377,58.588,60.5873,59.2458
SAA_SFE,conformer_a,59.8362,65.2092,65.4047,66.2757,64.1815
SAA_SFE,conformer_b,60.9225,62.8121,61.1188,62.2711,61.7811
SAA_SFE,conformer_b_cwt,54.0878,56.9736,56.0811,57.6157,56.1896
