pair,model,subject,window_ms,accuracy,n_test
HOC/WAA,conformer_a,10,4000,62.5,80
HOC/WAA,conformer_a,11,800,53.75,80
HOC/WAA,conformer_a,11,1500,65.0,80
HOC/WAA,conformer_a,11,3000,67.5,80
HOC/WAA,conformer_a,11,4000,71.25,80
HOC/WAA,conformer_a,12,800,62.5,80
HOC/WAA,conformer_a,12,1500,60.0,80
HOC/WAA,conformer_a,12,3000,57.49999999999999,80
HOC/WAA,conformer_a,12,4000,53.75,80
HOC/WAA,conformer_a,13,800,66.25,80
HOC/WAA,conformer_a,13,1500,63.74999999999999,80
HOC/WAA,conformer_a,13,3000,67.5,80
HOC/WAA,conformer_a,13,4000,72.5,80
HOC/WAA,conformer_a,14,800,75.0,80
HOC/WAA,conformer_a,14,1500,62.5,80
HOC/WAA,conformer_a,14,3000,63.74999999999999,80
HOC/WAA,conformer_a,14,4000,68.75,80
HOC/WAA,conformer_a,15,800,52.5,80
HOC/WAA,conformer_a,15,1500,48.75,80
HOC/WAA,conformer_a,15,3000,53.75,80
HOC/WAA,conformer_a,15,4000,51.24999999999999,80
HOC/WAA,conformer_a,16,800,68.75,80
HOC/WAA,conformer_a,16,1500,72.5,80
HOC/WAA,conformer_a,16,3000,77.5,80
HOC/WAA,conformer_a,16,4000,82.5,80
HOC/WAA,conformer_a,17,800,61.25000000000001,80
HOC/WAA,conformer_a,17,1500,57.49999999999999,80
HOC/WAA,conformer_a,17,3000,57.49999999999999,80
HOC/WAA,conformer_a,17,4000,56.25,80
HOC/WAA,conformer_a,18,800,61.25000000000001,80
HOC/WAA,conformer_a,18,1500,62.5,80
HOC/WAA,conformer_a,18,3000,67.5,80
HOC/WAA,conformer_a,18,4000,78.75,80
HOC/WAA,conformer_b,1,800,54.44444444444444,90
HOC/WAA,conformer_b,1,1500,67.77777777777779,90
HOC/WAA,conformer_b,1,3000,68.88888888888889,90
HOC/WAA,conformer_b,1,4000,67.77777777777779,90
HOC/WAA,conformer_b,2,800,53.75,80
HOC/WAA,conformer_b,2,1500,61.25000000000001,80
HOC/WAA,conformer_b,2,3000,70.0,80
HOC/WAA,conformer_b,2,4000,68.75,80
HOC/WAA,conformer_b,3,800,76.25,80
HOC/WAA,conformer_b,3,1500,70.0,80
HOC/WAA,conformer_b,3,3000,63.74999999999999,80
HOC/WAA,conformer_b,3,4000,65.0,80
HOC/WAA,conformer_b,4,800,65.0,80
HOC/WAA,conformer_b,4,1500,68.75,80
HOC/WAA,conformer_b,4,3000,63.74999999999999,80
HOC/WAA,conformer_b,4,4000,61.25000000000001,80
HOC/WAA,conformer_b,5,800,67.5,80
HOC/WAA,conformer_b,5,1500,66.25,80
HOC/WAA,conformer_b,5,3000,66.25,80
HOC/WAA,conformer_b,5,4000,62.5,80
HOC/WAA,conformer_b,6,800,65.0,80
HOC/WAA,conformer_b,6,1500,70.0,80
HOC/WAA,conformer_b,6,3000,68.75,80
HOC/WAA,conformer_b,6,4000,70.0,80
HOC/WAA,conformer_b,7,800,56.25,80
HOC/WAA,conformer_b,7,1500,63.74999999999999,80
HOC/WAA,conformer_b,7,3000,71.25,80
HOC/WAA,conformer_b,7,4000,73.75,80
HOC/WAA,conformer_b,8,800,48.75,80
HOC/WAA,conformer_b,8,1500,50.0,80
HOC/WAA,conformer_b,8,3000,60.0,80
