pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SFE,11,3000,5,56.25,68.75,16
WFE/SFE,11,4000,1,43.75,62.5,16
WFE/SFE,11,4000,2,31.25,50.0,16
WFE/SFE,11,4000,3,56.25,68.75,16
WFE/SFE,11,4000,4,43.75,50.0,16
WFE/SFE,11,4000,5,62.5,50.0,16
WFE/SFE,12,800,1,50.0,68.75,16
WFE/SFE,12,800,2,62.5,75.0,16
WFE/SFE,12,800,3,56.25,81.25,16
WFE/SFE,12,800,4,56.25,62.5,16
WFE/SFE,12,800,5,56.25,62.5,16
WFE/SFE,12,1500,1,50.0,37.5,16
WFE/SFE,12,1500,2,56.25,75.0,16
WFE/SFE,12,1500,3,50.0,62.5,16
WFE/SFE,12,1500,4,56.25,62.5,16
WFE/SFE,12,1500,5,56.25,43.75,16
WFE/SFE,12,3000,1,43.75,56.25,16
WFE/SFE,12,3000,2,56.25,75.0,16
WFE/SFE,12,3000,3,62.5,62.5,16
WFE/SFE,12,3000,4,43.75,50.0,16
WFE/SFE,12,3000,5,62.5,62.5,16
WFE/SFE,12,4000,1,68.75,56.25,16
WFE/SFE,12,4000,2,50.0,56.25,16
WFE/SFE,12,4000,3,68.75,50.0,16
WFE/SFE,12,4000,4,31.25,56.25,16
WFE/SFE,12,4000,5,43.75,37.5,16
WFE/SFE,13,800,1,68.75,56.25,16
WFE/SFE,13,800,2,50.0,81.25,16
WFE/SFE,13,800,3,68.75,56.25,16
WFE/SFE,13,800,4,50.0,56.25,16
WFE/SFE,13,800,5,37.5,62.5,16
WFE/SFE,13,1500,1,56.25,75.0,16
WFE/SFE,13,1500,2,68.75,68.75,16
WFE/SFE,13,1500,3,62.5,68.75,16
WFE/SFE,13,1500,4,56.25,75.0,16
WFE/SFE,13,1500,5,62.5,62.5,16
WFE/SFE,13,3000,1,62.5,68.75,16
WFE/SFE,13,3000,2,56.25,68.75,16
WFE/SFE,13,3000,3,56.25,56.25,16
WFE/SFE,13,3000,4,31.25,50.0,16
WFE/SFE,13,3000,5,56.25,75.0,16
WFE/SFE,13,4000,1,56.25,56.25,16
WFE/SFE,13,4000,2,75.0,81.25,16
WFE/SFE,13,4000,3,56.25,68.75,16
WFE/SFE,13,4000,4,37.5,75.0,16
WFE/SFE,13,4000,5,75.0,75.0,16
WFE/SFE,14,800,1,62.5,81.25,16
WFE/SFE,14,800,2,56.25,81.25,16
WFE/SFE,14,800,3,43.75,68.75,16
WFE/SFE,14,800,4,68.75,81.25,16
WFE/SFE,14,800,5,56.25,56.25,16
WFE/SFE,14,1500,1,56.25,75.0,16
WFE/SFE,14,1500,2,50.0,87.5,16
WFE/SFE,14,1500,3,75.0,75.0,16
WFE/SFE,14,1500,4,62.5,75.0,16
WFE/SFE,14,1500,5,56.25,62.5,16
WFE/SFE,14,3000,1,56.25,62.5,16
WFE/SFE,14,3000,2,56.25,93.75,16
WFE/SFE,14,3000,3,43.75,68.75,16
WFE/SFE,14,3000,4,56.25,81.25,16
WFE/SFE,14,3000,5,37.5,62.5,16
WFE/SFE,14,4000,1,50.0,56.25,16
WFE/SFE,14,4000,2,50.0,87.5,16
WFE/SFE,14,4000,3,43.75,68.75,16
WFE/SFE,14,4000,4,50.0,81.25,16
WFE/SFE,14,4000,5,56.25,75.0,16
WFE/SFE,15,800,1,50.0,62.5,16
WFE/SFE,15,800,2,50.0,68.75,16
WFE/SFE,15,800,3,56.25,62.5,16
WFE/SFE,15,800,4,68.75,62.5,16
WFE/SFE,15,800,5,37.5,68.75,16
WFE/SFE,15,1500,1,50.0,68.75,16
WFE/SFE,15,1500,2,56.25,68.75,16
WFE/SFE,15,1500,3,50.0,68.75,16
WFE/SFE,15,1500,4,50.0,68.75,16
WFE/SFE,15,1500,5,37.5,75.0,16
WFE/SFE,15,3000,1,50.0,50.0,16
WFE/SFE,15,3000,2,50.0,81.25,16
WFE/SFE,15,3000,3,56.25,56.25,16
WFE/SFE,15,3000,4,37.5,62.5,16
WFE/SFE,15,3000,5,37.5,43.75,16
WFE/SFE,15,4000,1,56.25,62.5,16
WFE/SFE,15,4000,2,50.0,68.75,16
WFE/SFE,15,4000,3,50.0,56.25,16
WFE/SFE,15,4000,4,31.25,68.75,16
WFE/SFE,15,4000,5,37.5,68.75,16
WFE/SFE,16,800,1,43.75,43.75,16
WFE/SFE,16,800,2,50.0,62.5,16
WFE/SFE,16,800,3,50.0,56.25,16
WFE/SFE,16,800,4,43.75,56.25,16
WFE/SFE,16,800,5,56.25,50.0,16
WFE/SFE,16,1500,1,37.5,62.5,16
WFE/SFE,16,1500,2,50.0,68.75,16
WFE/SFE,16,1500,3,37.5,56.25,16
WFE/SFE,16,1500,4,43.75,62.5,16
WFE/SFE,16,1500,5,43.75,56.25,16
WFE/SFE,16,3000,1,25.0,62.5,16
WFE/SFE,16,3000,2,50.0,75.0,16
WFE/SFE,16,3000,3,62.5,56.25,16
WFE/SFE,16,3000,4,56.25,62.5,16
WFE/SFE,16,3000,5,43.75,50.0,16
WFE/SFE,16,4000,1,75.0,56.25,16
WFE/SFE,16,4000,2,43.75,68.75,16
WFE/SFE,16,4000,3,50.0,50.0,16
WFE/SFE,16,4000,4,50.0,81.25,16
WFE/SFE,16,4000,5,37.5,62.5,16
WFE/SFE,17,800,1,43.75,56.25,16
WFE/SFE,17,800,2,43.75,62.5,16
WFE/SFE,17,800,3,62.5,62.5,16
WFE/SFE,17,800,4,50.0,68.75,16
WFE/SFE,17,800,5,18.75,37.5,16
WFE/SFE,17,1500,1,43.75,50.0,16
WFE/SFE,17,1500,2,68.75,68.75,16
WFE/SFE,17,1500,3,43.75,75.0,16
WFE/SFE,17,1500,4,68.75,62.5,16
WFE/SFE,17,1500,5,37.5,56.25,16
WFE/SFE,17,3000,1,50.0,75.0,16
WFE/SFE,17,3000,2,50.0,62.5,16
WFE/SFE,17,3000,3,62.5,62.5,16
WFE/SFE,17,3000,4,43.75,68.75,16
WFE/SFE,17,3000,5,37.5,37.5,16
WFE/SFE,17,4000,1,56.25,56.25,16
WFE/SFE,17,4000,2,50.0,81.25,16
WFE/SFE,17,4000,3,37.5,81.25,16
